,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
45,h,c,h,h,d,c,h,g,e,e,c,h,e,d,d,f,g,g,e,c,i,g,c,c,c,f,g,g,i,e,h,d,i,e,e,d,f,e,i,i,i,g,c,h,d
46,i,c,g,h,c,c,f,g,d,d,c,g,e,c,d,f,e,g,e,b,j,g,c,b,b,d,g,h,h,d,h,d,i,d,d,d,e,e,h,h,h,f,c,h,c
47,i,c,f,g,c,b,e,f,d,c,b,f,c,c,c,d,d,g,e,c,i,f,d,b,b,b,f,h,h,c,h,c,i,c,c,d,e,c,h,f,g,f,c,h,c
48,i,d,f,g,c,c,d,g,c,c,c,f,c,c,c,d,d,h,e,c,g,g,d,b,b,b,f,h,h,c,h,d,h,c,c,d,e,b,h,e,h,g,c,h,c
49,i,e,g,g,c,c,d,g,d,c,c,g,c,b,c,f,d,h,g,c,f,h,d,c,c,b,e,i,h,c,j,e,h,c,d,d,f,a,i,e,h,h,c,i,d
50,i,d,g,h,c,c,e,g,d,c,c,g,d,b,c,f,e,i,g,c,f,h,c,c,c,e,e,i,i,d,j,f,h,c,c,d,e,b,i,e,i,h,d,i,c
51,i,e,f,h,d,d,d,h,d,c,c,f,c,b,c,g,e,j,g,c,f,g,c,d,d,d,d,i,i,d,j,f,h,d,d,d,f,a,i,e,i,h,d,i,c
52,i,d,e,f,c,c,c,g,c,b,b,e,b,b,b,e,d,j,e,b,g,h,c,c,c,b,c,i,i,c,j,e,h,c,c,c,d,a,i,c,i,g,c,h,c
53,j,d,e,g,c,c,b,g,c,b,b,e,b,b,b,g,e,j,f,c,g,i,c,d,d,b,c,j,i,d,j,f,h,c,d,c,d,b,i,e,i,h,c,h,c
54,j,g,d,g,e,e,b,h,e,c,d,d,b,b,c,g,g,i,g,c,i,i,c,f,g,c,c,j,i,g,j,h,i,f,f,d,e,c,h,g,i,h,c,h,d
55,j,h,d,g,e,f,b,h,e,d,d,d,b,b,c,h,h,i,g,d,i,j,c,g,h,c,c,j,i,g,j,i,i,f,g,d,e,b,j,g,i,i,c,h,d
56,j,g,c,g,e,f,b,h,d,e,d,c,c,b,c,h,i,j,g,d,i,j,c,g,h,e,b,j,i,g,i,h,i,h,h,e,i,b,i,g,j,j,c,h,d
57,j,f,c,h,e,f,b,h,d,e,d,c,d,b,c,h,i,j,h,d,i,j,c,g,h,f,b,j,i,f,i,h,j,h,h,e,j,b,j,g,j,j,d,h,c
58,j,g,d,i,f,g,b,h,d,e,e,d,e,b,c,i,g,j,i,e,i,j,c,h,h,f,c,j,i,f,i,h,j,i,i,f,j,d,j,h,j,j,d,h,c
59,j,h,e,h,g,g,b,h,d,f,e,e,d,b,c,i,e,j,i,e,j,j,d,h,i,e,c,i,i,f,i,h,j,i,i,e,j,b,j,i,j,j,d,h,c
60,j,h,d,i,g,h,b,i,f,e,e,d,d,b,c,i,f,j,i,e,j,j,d,h,i,f,c,i,i,f,i,i,j,i,i,e,j,b,j,i,j,j,d,g,c
