Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
27-05-20,13.38000011,93.68325806,15.52999973,30.89999962,17.76363564,13.21000004,12.72249985,22.20000076,23.25,10.46000004,93.68325806,14.69999981,4,5.300000191,6.355999947,16.56749916,9.449999809,17.5,7.269999981,0.189999998,11,7.115681171,9.109999657,23.72999954,21.76000023,28.8352356,15.11999989,21.25,39.79000092,16.84000015,16.62000084,0.699999988,20.64999962,19.93000031,4.039999962,5.949999809,23.45000076,38.40999985,17.30999947,5.699999809,50.63999939,1.17919898,12.18000031,8.659999847
28-05-20,12.81999969,92.17834473,15.31666565,30.79000092,17.36363602,13.05000019,12.39750004,22.18000031,23.20999908,9.949999809,92.17834473,14.77999973,4.050000191,5.230000019,6.334000111,16.29500008,9.609999657,17.5,6.980000019,0.189999998,11.00199986,7.513050079,9,23.30999947,22,28.6456604,14.52000046,21.14999962,39.02999878,16.3125,15.75,0.720000029,20.55999947,19.77000046,4.070000172,5.846000195,23.17000008,38.36000061,17.38999939,6,50.09000015,1.18799901,12.57999992,8.899999619
29-05-20,12.47999954,91.3112793,15.1833334,30.84000015,17.22727203,13.39000034,12.21000004,21.63999939,23.12999916,9.81000042,91.3112793,14.69999981,4.090000153,5.260000229,6.329999924,16.46249962,10.31999969,16.95000076,7.150000095,0.189999998,10.97200012,7.670149803,8.859999657,23.04000092,21.96999931,28.18669128,14.78999996,20.5,38.54999924,16.08749962,15.17000008,0.75,20.84000015,20.34000015,4.059999943,6.196000099,22.53000069,37.86000061,17.12000084,6.150000095,53,1.170398951,12.39999962,9.420000076
01-06-20,12.60000038,91.09201813,15.17666626,31.79999924,18,13.07999992,12.53499985,21.60000038,23.67000008,10.43000031,91.09201813,14.59000015,4.170000076,5.630000114,6.229000092,17.07250023,10.35000038,17.07999992,7.409999847,0.189999998,10.89999962,7.679390907,9.069999695,23.65999985,21.95999908,29.23433876,14.94999981,21.65999985,40.99000168,15.92500019,15.78999996,0.800000012,20.95000076,20.32999992,4.449999809,6.257999897,22.62000084,38.45000076,17.19000053,6.190000057,53.41999817,1.17919898,13.43000031,9.529999733
02-06-20,12.97000027,88.88946533,15.48666573,32.81999969,18.79090881,12.88000011,13.82750034,22.81999969,23.35000038,10.42000008,88.88946533,14.5,4.400000095,6.400000095,6.454999924,17.47500038,10.75,18.20000076,8.239999771,0.189999998,10.9119997,7.947383881,9.539999962,25.25,21.80999947,29.86292648,15.10999966,21.70999908,42.13000107,15.44999981,16.64999962,0.829999983,21.86000061,21.39999962,4.619999886,6.717999935,22.64999962,38.41999817,18.94000053,6.920000076,53.41999817,1.390398979,13.27999973,9.840000153
03-06-20,13.25,87.05566406,16.2733326,34.75,19.62727165,12.44999981,14.875,23.45000076,22.64999962,11.22999954,87.05566406,15.14999962,4.539999962,6.78000021,6.55700016,17.95750046,10.60000038,20.88999939,8.520000458,0.180000007,11.60999966,9.934229851,9.81000042,25.92000008,20.60000038,30.16225433,16.53000069,22.5,44.18000031,15.59500027,17.57999992,0.819999993,22.05999947,21.46999931,4.619999886,6.495999813,23.14999962,38.13000107,18.76000023,6.900000095,53.65999985,1.372799039,13.47999954,10.46000004
04-06-20,13.38000011,85.7401123,16.52666664,34.93999863,19.90909004,13.35999966,15.0625,23.38999939,23.45000076,10.97000027,85.7401123,14.68999958,4.380000114,6.739999771,6.528999805,17.35750008,10.48999977,20.95000076,8.930000305,0.189999998,11.73200035,9.656995773,9.920000076,26.67000008,21.46999931,30.32189751,16.60000038,21.60000038,44.56000137,15.12250042,17.18000031,0.829999983,22.15999985,21.43000031,5.199999809,6.78399992,22.36000061,39.84999847,18.62999916,6.880000114,55.65999985,1.434399009,13.94999981,10.48999977
05-06-20,14.05000019,86.03910065,16.35666656,35.20000076,20.27272606,13.01000023,15.06000042,22.92000008,22.70000076,10.89999962,86.03910065,14.60000038,4.5,6.900000095,6.400000095,17.30500031,10.63000011,20.68000031,9.039999962,0.200000003,11.90999985,9.934229851,10.03999996,27.26000023,20.95000076,29.63344383,16.82999992,20.70999908,45.97999954,14.86250019,17.48999977,0.839999974,22.85000038,22.10000038,5.389999866,7.453999996,23.11000061,38.29999924,18.68000031,6.900000095,54.61000061,1.531198978,14.85000038,10.55000019
08-06-20,14.60000038,92.68662262,17.23999977,36.38999939,21.33636284,13.05000019,16.50499916,24,23.25,11.43999958,92.68662262,14.93999958,4.639999866,6.900000095,6.800000191,17.32500076,12.44999981,22.14999962,10.69999981,0.200000003,12.21399975,10.85834503,10.39999962,28.36000061,21.88999939,29.73321915,17.45000076,20.79999924,46.20999908,15.59500027,18,0.860000014,23.35000038,22.53000069,6.170000076,7.472000122,24.17000008,38.15999985,19.12999916,7.449999809,54.77999878,1.583997965,15.5,11.06000042
09-06-20,14.31999969,94.18157196,17.0233326,35.79000092,20.86363602,12.59000015,16.39500046,23.40999985,23.06999969,11.77000046,94.18157196,14.47999954,4.840000153,6.949999809,6.714000225,17.13249969,12.05000019,21.43000031,10.31000042,0.200000003,12.01799965,12.21679306,10.35999966,27.79999924,22.05999947,30.18221092,17.14999962,20.63999939,45.81999969,15.59500027,17.14999962,0.920000017,22.69000053,21.71999931,5.800000191,7.039999962,24.30999947,38.16999817,19.27000046,7.300000191,54.99000168,1.689597964,14.97000027,11.18999958
